timestamp,open,high,low,close,volume
2024-01-01T09:15:00+05:30,21500.0,21550.0,21480.0,21520.0,100000
2024-01-01T09:20:00+05:30,21520.0,21580.0,21510.0,21570.0,120000
2024-01-01T09:25:00+05:30,21570.0,21600.0,21560.0,21590.0,150000
2024-01-01T09:30:00+05:30,21590.0,21620.0,21580.0,21610.0,140000
2024-01-01T09:35:00+05:30,21610.0,21650.0,21600.0,21640.0,160000
2024-01-01T09:40:00+05:30,21640.0,21680.0,21630.0,21670.0,180000
2024-01-01T09:45:00+05:30,21670.0,21710.0,21660.0,21700.0,200000
2024-01-01T09:50:00+05:30,21700.0,21740.0,21690.0,21730.0,220000
2024-01-01T09:55:00+05:30,21730.0,21770.0,21720.0,21760.0,240000
2024-01-01T10:00:00+05:30,21760.0,21800.0,21750.0,21790.0,260000
2024-01-01T10:05:00+05:30,21790.0,21830.0,21780.0,21820.0,280000
2024-01-01T10:10:00+05:30,21820.0,21860.0,21810.0,21850.0,300000
2024-01-01T10:15:00+05:30,21850.0,21890.0,21840.0,21880.0,320000
2024-01-01T10:20:00+05:30,21880.0,21920.0,21870.0,21910.0,340000
2024-01-01T10:25:00+05:30,21910.0,21950.0,21900.0,21940.0,360000
2024-01-01T10:30:00+05:30,21940.0,21980.0,21930.0,21970.0,380000
2024-01-01T10:35:00+05:30,21970.0,22010.0,21960.0,22000.0,400000
2024-01-01T10:40:00+05:30,22000.0,22050.0,21990.0,22040.0,420000
2024-01-01T10:45:00+05:30,22040.0,22080.0,22030.0,22070.0,440000
2024-01-01T10:50:00+05:30,22070.0,22110.0,22060.0,22100.0,460000
2024-01-01T10:55:00+05:30,22100.0,22140.0,22090.0,22130.0,480000
2024-01-01T11:00:00+05:30,22130.0,22100.0,22050.0,22060.0,500000
2024-01-01T11:05:00+05:30,22060.0,22040.0,21980.0,21990.0,520000
2024-01-01T11:10:00+05:30,21990.0,21950.0,21800.0,21810.0,540000
2024-01-01T11:15:00+05:30,21810.0,21800.0,21700.0,21710.0,560000
2024-01-01T11:20:00+05:30,21710.0,21700.0,21600.0,21610.0,580000
